x=0.05,absolute_error,function,derivative
5333.373333333332,5333.373333333332,2.5891736350366106e+19,2.4273320778562388e+16
4266.698666666665,1066.6746666666668,8.484204167287962e+18,9942352190899152.0
3413.358933333332,853.3397333333332,2.7801040215369185e+18,4072387457392291.5
2730.6871466666657,682.6717866666663,9.109844857772175e+17,1668049902547882.8
2184.5497173333324,546.1374293333333,2.985113962994785e+17,683233240083612.5
1747.639773866666,436.9099434666664,9.781621433941315e+16,279852335138247.78
1398.1118190933328,349.52795477333325,3.2052417114738896e+16,114627516472626.27
1118.4894552746662,279.6223638186666,1.050293604015764e+16,46951430747187.72
894.7915642197329,223.69789105493328,3441602081638853.0,19231306034048.082
715.8332513757864,178.9583128439465,1127744170111419.5,7877142951546.099
572.6666011006292,143.16665027515717,369539209662109.6,3226477752953.2847
458.1332808805037,114.53332022012552,121090608222079.86,1321565287609.6692
366.50662470440375,91.62665617609997,39678970502210.875,541313141804.92505
293.20529976352486,73.30132494087889,13002005054164.2,221721862883.30295
234.5642398108244,58.64105995270046,4260497016148.2627,90817275037.00787
187.65139184867053,46.912847962153876,1396079662251.1997,37198755855.16715
150.1211134789633,37.53027836970722,457467383726.21045,15236610398.28738
120.09689078323628,30.024222695727033,149902912299.1419,6240915619.152153
96.07751262674925,24.019378156487022,49120186301.9201,2556279037.621775
76.8620101017906,19.21550252495865,16095702647.150463,1047051893.8311954
61.48960808238755,15.372402019403054,5274239843.155546,428872455.7399029
49.191686468241734,12.297921614145814,1728262911.542489,175666157.90437067
39.353349180286,9.838337287955731,566317190.5915228,71952858.31926328
31.48267935812679,7.870669822159211,185570816.7503102,29471890.81961155
25.18614352043207,6.296535837694723,60807844.97002164,12071686.544764534
20.14891489918412,5.037228621247948,19925514.37705669,4944562.890050106
16.119132121589644,4.029782777594477,6529192.28835395,2025293.0614077162
12.895306191027418,3.223825930562226,2139485.466327853,829560.1650065946
10.31624615828001,2.5790600327474085,701066.3348864064,339788.0024042063
8.252999869635511,2.063246288644498,229725.1538958698,139177.36430669267
6.60240708078484,1.6505927888506715,75276.07570949009,57007.2965726174
5.281943206242018,1.3204638745428214,24666.201771206343,23350.498867590522
4.225597390631116,1.0563458156109018,8082.358284691496,9564.752078148415
3.3805824630454437,0.8450149275856726,2648.1644680644986,3918.2071388934005
2.704721189204672,0.6758612738407717,867.4878902100642,1605.5035426136556
2.1643998089118264,0.5403213802928457,283.99594774407757,658.3717725593456
1.733038745784719,0.4313610631271074,92.79779139413034,270.6165445587275
1.3901262621985873,0.3429124835861317,30.147449531556124,112.03100890380323
1.1210271098608395,0.2690991523377477,9.622624426437332,47.37898099429543
0.917928093704373,0.20309901615646653,2.9101602804125335,21.298837606292047
0.7812933939988445,0.13663469970552855,0.7467148470099167,11.178354126801308
0.7144933232067063,0.06680007079213812,0.11722880438345906,7.8183292138353515
0.6994992239334229,0.014994099273283434,0.00481806728547185,7.182410165054798
0.6988284090990218,0.0006708148344011233,9.232127466507478e-06,7.154898249033321
0.6988271187763442,1.2903226775939913e-06,3.409228455097946e-11,7.154845405721418
0.6988271187715792,4.764966199388709e-12,-2.220446049250313e-16,7.1548454055262765
